link_id,a_node,b_node,mid_lat,mid_lon,free_flow_time,Congested_Time_Max,Delay_factor_Max,VOC_max
1,4469,4471,40.099475,-74.9731255,0.156078,0.156078,1.0,0.0
2,4471,4469,40.099475,-74.9731255,0.156078,0.156078,1.0,0.0
3,4487,4488,40.088862,-74.9743475,0.306808,0.3270185500536922,1.0658736084251137,0.1846933284289736
4,5642,5643,40.08845285,-74.97251565,0.285253,0.2922891479820106,1.024666341745786,0.0814602271157666
5,6472,6473,40.0893065,-74.97443104999999,0.480806,0.480806,1.0,0.0
6,6478,5643,40.08860485,-74.97305515,0.1303286666666666,0.1303286666666666,1.0,0.0
7,6478,6479,40.09032725,-74.97545205,0.5030593333333333,0.5030593333333333,1.0,0.0
8,6258,7509,40.10165,-74.97276905000001,0.59953,0.59953,1.0,0.0
9,7509,6258,40.10165,-74.97276905000001,0.59953,0.59953,1.0,0.0
10,8070,8072,40.08408705,-74.97307955,0.260546,0.260546,1.0,0.0
11,8072,8070,40.08408705,-74.97307955,0.260546,0.260546,1.0,0.0
12,8070,8073,40.084901349999996,-74.9733183,0.109972,0.1126846069344675,1.024666341745786,0.0814602271157666
13,8112,8113,40.096682099999995,-74.97249555,0.53124,0.53124,1.0,0.0
14,8113,5254,40.09664145,-74.9725226,0.52567,0.52567,1.0,0.0
15,9090,8071,40.08495335,-74.97343955,0.108276,0.1154085308258375,1.0658736084251137,0.1846933284289736
16,195,10000029,40.103956252380954,-74.97483000119047,5.167566000000001,5.167566000000001,1.0,0.0
17,10000029,195,40.103956252380954,-74.97483000119047,5.167566000000001,5.167566000000001,1.0,0.0
18,2542,10000029,40.101392752380946,-74.97349700119048,1.839108,1.839108,1.0,0.0
19,10000029,2542,40.101392752380946,-74.97349700119048,1.839108,1.839108,1.0,0.0
20,2543,10000029,40.101231752380954,-74.97334050119048,1.60929,1.60929,1.0,0.0
21,10000029,2543,40.101231752380954,-74.97334050119048,1.60929,1.60929,1.0,0.0
22,2544,10000029,40.10153275238095,-74.97365500119048,2.066316,2.066316,1.0,0.0
23,10000029,2544,40.10153275238095,-74.97365500119048,2.066316,2.066316,1.0,0.0
24,4471,10000029,40.10028825238095,-74.97262900119048,1.0545600000000002,1.0545600000000002,1.0,0.0
25,10000029,4471,40.10028825238095,-74.97262900119048,1.0545600000000002,1.0545600000000002,1.0,0.0
26,6258,10000029,40.10093875238095,-74.97310650119047,1.282542,1.282542,1.0,0.0
27,10000029,6258,40.10093875238095,-74.97310650119047,1.282542,1.282542,1.0,0.0
28,6886,10000029,40.10023125238095,-74.97459150119047,2.899182,2.899182,1.0,0.0
29,10000029,6886,40.10023125238095,-74.97459150119047,2.899182,2.899182,1.0,0.0
30,8113,10000029,40.09885420238095,-74.97294610119047,2.841264,2.841264,1.0,0.0
31,10000029,8113,40.09885420238095,-74.97294610119047,2.841264,2.841264,1.0,0.0
32,6467,10000134,40.07925474431818,-74.97041524886363,5.158404,5.158404,1.0,0.0
33,10000134,6467,40.07925474431818,-74.97041524886363,5.158404,5.158404,1.0,0.0
34,6468,10000134,40.079049244318185,-74.97025724886363,5.074188,5.074188,1.0,0.0
35,10000134,6468,40.079049244318185,-74.97025724886363,5.074188,5.074188,1.0,0.0
36,6469,10000134,40.07897474431818,-74.97084574886364,4.586436,4.586436,1.0,0.0
37,10000134,6469,40.07897474431818,-74.97084574886364,4.586436,4.586436,1.0,0.0
38,6477,10000134,40.07798829431818,-74.96969189886363,4.721256,4.721256,1.0,0.0
39,10000134,6477,40.07798829431818,-74.96969189886363,4.721256,4.721256,1.0,0.0
40,7513,10000134,40.07866324431818,-74.97181924886362,3.646566,3.646566,1.0,0.0
41,10000134,7513,40.07866324431818,-74.97181924886362,3.646566,3.646566,1.0,0.0
42,8061,10000134,40.07745044431818,-74.96939449886364,4.73499,4.73499,1.0,0.0
43,10000134,8061,40.07745044431818,-74.96939449886364,4.73499,4.73499,1.0,0.0
44,8062,10000134,40.078846744318184,-74.96973874886363,5.296602,5.296602,1.0,0.0
45,10000134,8062,40.078846744318184,-74.96973874886363,5.296602,5.296602,1.0,0.0
46,8808,10000134,40.07922459431818,-74.96985499886364,5.533848,5.533848,1.0,0.0
47,10000134,8808,40.07922459431818,-74.96985499886364,5.533848,5.533848,1.0,0.0
48,9912,10000134,40.079037744318185,-74.97242674886363,3.796668,3.796668,1.0,0.0
49,10000134,9912,40.079037744318185,-74.97242674886363,3.796668,3.796668,1.0,0.0
50,4488,10000133,40.086462702173904,-74.97601172717393,3.511488,3.511488,1.0,0.0
51,10000133,4488,40.086462702173904,-74.97601172717393,3.511488,3.511488,1.0,0.0
